Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr)
2023-11-13,19486.75,19494.4,19414.75,19443.55,189275733.0,13527.22
2023-11-15,19651.4,19693.2,19579.65,19675.45,291464988.0,24957.24
2023-11-16,19674.7,19875.25,19627.0,19765.2,282686669.0,26041.45
2023-11-17,19674.75,19806.0,19667.45,19731.8,236827462.0,21681.28
2023-11-20,19731.15,19756.45,19670.5,19694.0,173780543.0,16737.05
2023-11-21,19770.9,19829.1,19754.05,19783.4,194969012.0,17947.2
2023-11-22,19784.0,19825.55,19703.85,19811.85,184497984.0,17405.48
2023-11-23,19828.45,19875.15,19786.75,19802.0,170024085.0,15906.94
2023-11-24,19809.6,19832.85,19768.85,19794.7,145895044.0,14389.29
2023-11-28,19844.65,19916.85,19800.0,19889.7,229595031.0,23043.25
2023-11-29,19976.55,20104.65,19956.3,20096.6,236241768.0,22367.64
2023-11-30,20108.5,20158.7,20015.85,20133.15,486585349.0,48877.95
2023-12-01,20194.1,20291.55,20183.7,20267.9,265812566.0,22461.53
2023-12-04,20601.95,20702.65,20507.75,20686.8,381107418.0,33917.52
2023-12-05,20808.9,20864.05,20711.15,20855.1,421008350.0,41763.52
2023-12-06,20950.75,20961.95,20852.15,20937.7,359212958.0,35654.76
2023-12-07,20932.4,20941.25,20850.8,20901.15,274985308.0,24862.43
2023-12-08,20934.1,21006.1,20862.7,20969.4,292440768.0,27449.96
2023-12-11,20965.3,21026.1,20923.7,20997.1,212921451.0,21150.17
2023-12-12,21018.55,21037.9,20867.15,20906.4,244867128.0,25404.64
2023-12-13,20929.75,20950.0,20769.5,20926.35,260269318.0,25918.44
2023-12-14,21110.4,21210.9,21074.45,21182.7,334410589.0,32593.42
2023-12-15,21287.45,21492.3,21235.3,21456.65,508761756.0,50114.46
2023-12-18,21434.8,21482.8,21365.35,21418.65,249668965.0,23615.28
2023-12-19,21477.65,21505.05,21337.75,21453.1,249750062.0,23750.61
2023-12-20,21543.5,21593.0,21087.35,21150.15,363886229.0,30993.12
2023-12-21,21033.95,21288.35,20976.8,21255.05,277548079.0,26001.02
2023-12-22,21295.85,21390.5,21232.45,21349.4,284708918.0,27709.29
2023-12-26,21365.2,21477.15,21329.45,21441.35,219467748.0,20081.33
2023-12-27,21497.65,21675.75,21495.8,21654.75,256542963.0,23059.25
2023-12-28,21715.0,21801.45,21678.0,21778.7,393080755.0,35031.0
